pair,ordered_g1_spin,ordered_g2_spin,coupling_ratio_abs_gmin_over_gmax,excited_state_hyperfine_scale,final_qec_average_fidelity,final_best_single_average_fidelity,final_qec_minus_best_single,maximum_qec_minus_best_single,time_of_maximum_improvement_us,qec_beats_best_single_any_sample,qec_beats_best_single_at_final_time
S1-S2,S2,S1,0.025047164131176494,0.5,0.9735462227630741,0.9985600042404384,-0.025013781477364327,-0.0007441934714598197,0.5,False,False
S1-S3,S3,S1,0.11268736079619557,0.5,0.988076541119165,0.9985600042404373,-0.010483463121272352,-0.00011055492652534138,0.5,False,False
S1-S4,S4,S1,0.35693402821914316,0.5,0.9982963771873944,0.998670379079929,-0.00037400189253455896,-1.1252092665614555e-05,0.5,False,False
S1-S5,S1,S5,0.6823361823361824,0.5,0.9984774673551345,0.9993559688053156,-0.0008785014501810906,-1.0857168033395759e-05,0.5,False,False
S1-S6,S6,S1,0.8005702066999287,0.5,0.9974851090998397,0.9985600042404376,-0.0010748951405978868,-1.6112732514894645e-05,0.5,False,False
S1-X2,X2,S1,0.16536128614333662,0.5,0.9979525318667998,0.9985600042404378,-0.0006074723736380072,-1.965449644591999e-05,0.5,False,False
S2-S3,S2,S3,0.22227128183857606,0.5,0.9554612931144689,0.9784852798553674,-0.02302398674089845,-0.0007803971231572504,0.5,False,False
S2-S4,S2,S4,0.07017309124642646,0.5,0.9735486614182222,0.9986703790799286,-0.025121717661706455,-0.0007521248755966159,0.5,False,False
S2-S5,S2,S5,0.01709058635161473,0.5,0.9743088211044517,0.9993559688053161,-0.02504714770086436,-0.0007407732552694446,0.5,False,False
S2-S6,S2,S6,0.03128665533835525,0.5,0.9730733691518129,0.9980765829503673,-0.025003213798554413,-0.0007287910870007464,0.5,False,False
S2-X2,S2,X2,0.15146933550979635,0.5,0.9700493026910157,0.9951219253086814,-0.02507262261766563,-0.0007616681487072618,0.5,False,False
S3-S4,S3,S4,0.31570921203122176,0.5,0.9892513459793623,0.9986703790799281,-0.009419033100565799,-0.00011243303031716056,0.5,False,False
S3-S5,S3,S5,0.07689066356321607,0.5,0.9887700110182269,0.999355968805316,-0.01058595778708904,-0.0001077364354967747,0.5,False,False
S3-S6,S3,S6,0.14075887392900854,0.5,0.9876290116295929,0.9980765829503673,-0.01044757132077434,-0.00010230782504994096,0.5,False,False
S3-X2,S3,X2,0.681461564700925,0.5,0.9907252543644707,0.9951219253086813,-0.00439667094421059,-0.00010808573922116427,0.5,False,False
S4-S5,S4,S5,0.24354900216092534,0.5,0.9990381136953115,0.9993559688053154,-0.0003178551100039284,-6.8230413168279824e-06,0.5,False,False
S4-S6,S4,S6,0.445849752129147,0.5,0.997796925449313,0.9986703790799288,-0.0008734536306158613,-1.2805950187044779e-05,0.5,False,False
S4-X2,X2,S4,0.4632824921971615,0.5,0.9988545431761445,0.9986703790799282,0.00018416409621635488,0.00018416409621635488,20.0,True,True
S5-S6,S6,S5,0.5462580185317177,0.5,0.9979394659146755,0.9993559688053165,-0.0014165028906409916,-1.4257318064481161e-05,0.5,False,False
S5-X2,X2,S5,0.11283198869324537,0.5,0.9987050692369084,0.9993559688053155,-0.0006508995684071373,-1.7801930695893198e-05,0.5,False,False
S6-X2,X2,S6,0.20655438431187792,0.5,0.9974446657595207,0.9980765829503678,-0.0006319171908470977,-1.8197193884073037e-05,0.5,False,False
